亡者列车 Train of the Dead,湮灭快车,暗无天日,丧尸大战,行尸走肉
先发制人 First Strike,升格之链,激光钻机,超远视距,短视症
时空枷锁 Time Lock ,天界封锁,强磁雷场,速度狂魔,时间扭曲
恶劣天气 Bad Weather,克哈裂痕,龙卷风暴,虚空裂隙,
战场炼狱 War is Hell,虚空撕裂,闪避机动,岩浆爆发,焦土政策
痛苦神庙 Temple of Pain,往日神庙,复仇战士,减伤屏障,晶矿护盾
末日之矛 Spear of Your Doom ,天界封锁,轨道轰炸,净化光束,时空立场
特别快递 Special Delivery ,虚空降临,进攻部署,异形寄生,自毁程序
城市巷战 Urban Warfare,克哈裂痕,扫雷专家,光子过载,来去无踪
完美风暴 Perfect Storm,升格之链,暴风雪,短视症,龙卷风暴
全面核战 Boom Town,湮灭快车,无边恐惧,核弹打击,自毁程序
黑暗仪式 Dark Ritual,往日神庙,灵能爆表,速度狂魔,
燃烧军团 Burning Legion,天界封锁,复仇战士,焦土政策,虚空裂隙
三重威胁 Triple Threat,虚空降临,激光钻机,轨道轰炸,丧尸大战
烈焰战场 World on Fire,熔火危机,核弹打击,飞弹大战,净化光束
失心疯 Flipping Out,升格之链,闪避机动,无边恐惧,迷失方向
威胁递增 Growing Threat ,机会渺茫,异形寄生,相互摧毁,力量蜕变
造恶之息 Breath of Destruction ,机会渺茫,进攻部署,复仇战士,速度狂魔
玩火自焚 Conflagration,往日神庙,异形寄生,焦土政策,行尸走肉
天轰地爆 Explosive Results,虚空撕裂,核弹打击,相互摧毁,自毁程序
能量朝负 Power Trip,熔火危机,超远视距,光子过载,灵能爆表
拉克希尔大乱斗 Shir Chaos,升格之链,给我死吧,丧尸大战,速度狂魔
适者生存 Survival of the Fittest,虚空撕裂,减伤屏障,力量蜕变,
丛林激斗 Rumble in the Jungle ,机会渺茫,进攻部署,时空立场,来去无踪
火葬仪式 Cremation,营救矿工,焦土政策,虚空重生者,
高举盾牌！ Shields Up! ,虚空降临,伤害散射,晶矿护盾,短视症
乌历新年 Ulnar New Year,天界封锁,焰火秀,幸运红包,
旧忆重惊 Blast from the Past ,往日神庙,强行征用,相互摧毁,
星门异动 Portal Power,虚空撕裂,灵能爆表,虚空裂隙,
强行霸占 Hostile Takeover,克哈裂痕,强行征用,激光钻机,飞弹大战
死亡危机 Grave Danger ,往日神庙,力量蜕变,虚空重生者,行尸走肉
黑暗时刻 The Injustice League,克哈裂痕,坚强意志,风暴英雄,鼓舞人心
疫鬼狂潮 The Quick and the Dead ,亡者之夜,黑死病,速度狂魔,
隐形威胁 Out of Sight,营救矿工,净化光束,来去无踪,
蚀骨之寒 Frostbite,亡者之夜,暴风雪,强磁雷场,
无间死局 Certain Demise ,升格之链,复仇战士,虚空重生者,
火线快递 Delivery Guaranteed ,虚空降临,减伤屏障,核弹打击,给我死吧
烈火金刚 Dead Heat,熔火危机,致命勾引,自毁程序,行尸走肉
寒冷即使虚空 Cold is the Void,湮灭快车,暴风雪,虚空重生者,虚空裂隙
异形进击 Futile Resistance,天界封锁,震荡攻击,同化体,时空立场
疫区逃生 Charnel House,营救矿工,暗无天日,光子过载,黑死病
步步为营 Slow and Steady ,机会渺茫,时间扭曲,速度狂魔,震荡攻击
现世现报 Instant Karma,升格之链,双重压力,相互摧毁,自毁程序
仁至义尽 Worn Out Welcome,往日神庙,鼓舞人心,给我死吧,超远视距
飞蛾扑火 Moths to the Flame ,克哈裂痕,异形寄生,致命勾引,净化光束
火海惊魂 Fear and Lava,熔火危机,无边恐惧,虚空裂隙,
磁性牵引 Magnetic Attraction,虚空撕裂,致命勾引,强磁雷场,来去无踪
地发杀机 Death from Below,营救矿工,岩浆爆发,扫雷专家,焦土政策
天发杀机 Watch the Skies,虚空降临,进攻部署,飞弹大战,轨道轰炸
兵贵神速 Think Fast ,克哈裂痕,同化体,速度狂魔,
自作自受 What Goes Around,黑暗杀星,双重压力,相互摧毁,
封禁行为 Bannable Offense ,净网行动,闪避机动,灵能爆表,
嗜血夜魔 Masters of Midnight ,聚铁成兵,无边恐惧,生命汲取,短视症
雷场夜战 Night Drive,死亡摇篮,惧怕黑暗,强磁雷场,
极限压迫 Get Out More,亡者之夜,强行征用,晶矿护盾,自毁程序
时空气象站 Unstable Environment ,黑暗杀星,岩浆爆发,时间扭曲,龙卷风暴
死亡无声 Rest in Peace,虚空撕裂,默哀,同化体,
无尽感染 Endless Infection,虚空降临,异形寄生,黑死病,行尸走肉
顽强作战 Battle Hardened,升格之链,坚强意志,鼓舞人心,飞弹大战
寒冷适应 Chilling Adaptation,营救矿工,暴风雪,力量蜕变,
消极增援 Negative Reinforcement ,聚铁成兵,复仇战士,致命勾引,
报应不爽 Retribution,机会渺茫,双重压力,虚空裂隙,
灰烬重生 Rise from the Ashes ,黑暗杀星,岩浆爆发,自毁程序,虚空重生者
折越战区 Warp Zone,天界封锁,时空立场,时间扭曲,龙卷风暴
训练有素 Well Trained,湮灭快车,进攻部署,复仇战士,鼓舞人心
末日报告 Doomsday Report,熔火危机,核弹打击,轨道轰炸,同化体
违规操作 Safety Violation,营救矿工,激光钻机,强磁雷场,自毁程序
重生圣殿 Temple of Rebirth,往日神庙,减伤屏障,生命汲取,给我死吧
疯狂超频 Overclocked,净网行动,复仇战士,光子过载,速度狂魔
消耗战 Attrition Warfare ,虚空撕裂,伤害散射,扫雷专家,
农历新年 Ulnar New Year,天界封锁,焰火秀,幸运红包,
死亡幽灵 Specter of Death,聚铁成兵,虚空重生者,来去无踪,
远距威胁 Distant Threat,亡者之夜,超远视距,净化光束,时间扭曲
辐射区 Radiation Zone,克哈裂痕,黑死病,核弹打击,丧尸大战
内部力量 Inner Power ,往日神庙,异形寄生,灵能爆表,
梦魇敌酋 Memorable Boss,虚空降临,风暴英雄,默哀,
基地颠倒 Flip My Base,机会渺茫,强行征用,飞弹大战,净化光束
防火墙 Firewall,净网行动,减伤屏障,岩浆爆发,扫雷专家
感痛身受 Rubber and Glue ,虚空降临,伤害散射,双重压力,时空立场
地狱列车 Hell Train,湮灭快车,给我死吧,焦土政策,
感染尽出 Infection Detected ,净网行动,异形寄生,丧尸大战,自毁程序
机会尽出 Opportunities Unleashed,机会渺茫,减伤屏障,灵能爆表,速度狂魔
一将千出 One For All,往日神庙,坚强意志,鼓舞人心,力量蜕变
实验巨炮 Experimental Artillery ,聚铁成兵,激光钻机,超远视距,光子过载
